DCC0042 G03AC08 DCC0144 J01XX08 0.0 0.0 0
DCC0042 G03AC08 DCC0145 C07AB07 0.0 0.0 0
DCC0107 J01MA03 DCC0167 N02CC01 0.0 0.0 0
DCC0074 C03DB02 DCC0188 J01DH02 0.0 0.0 0
DCC0076 C08CA06 DCC0188 J01DH02 0.0 0.0 0
DCC0090 C03AA01 DCC0176 J01XE01 0.0 0.0 0
DCC0106 S01EA05 DCC0188 J01DH02 0.0 0.0 0
DCC0121 C08CA13 DCC0176 J01XE01 0.0 0.0 0
DCC0145 C07AB07 DCC0188 J01DH02 0.0 0.0 0
DCC0074 C03DB02 DCC0233 A10BX02 0.0 0.0 0
DCC0089 N05AB04 DCC0254 S01FA04 0.0 0.0 0
DCC0090 C03AA01 DCC0254 S01FA04 0.0 0.0 0
DCC0142 C03DB01 DCC0254 S01FA04 0.0 0.0 0
DCC0188 J01DH02 DCC0275 C01BA02 0.0 0.0 0
DCC0167 N02CC01 DCC0746 M01AX05 0.0 0.0 0
DCC0176 J01XE01 DCC0686 G04BD12 0.0 0.0 0
DCC0176 J01XE01 DCC0740 R03BB05 0.0 0.0 0
DCC0178 J05AG02 DCC0686 G04BD12 0.0 0.0 0
DCC0233 A10BX02 DCC0740 R03BB05 0.0 0.0 0
DCC0275 C01BA02 DCC0740 R03BB05 1.0 0.0 0
